SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime,Temp_Diff,Humidity_Diff
51046-941,24.3,59.0,259,74.7,49.3526,8.1646,111.4,0.9,0,5,-3696.631368101141,-15501.819509621215,-2208.1230095885126,-2128.1816257795044,-1603.000954110997,1703.4603018340429,-2642.075377290542,-19574.572095780033,379,3,2,0,2025-07-25 16:10:46,2025-07-25 14:10:47,-0.48417608566329307,1.907792980368825
51048-897,24.3,59.0,262,74.5,49.3526,8.1646,111.2,0.8,0,5,-3678.773245549928,-15435.288095416834,-2213.799418353521,-2128.1816257795044,-1596.4042423656845,1708.3134650871316,-2634.093276452806,-19574.572095780033,379,2,3,0,2025-07-25 16:10:48,2025-07-25 14:10:49,-0.48417608566329307,1.907792980368825
51050-897,24.3,59.0,259,74.7,49.3526,8.1646,111.1,0.1,0,5,-3678.773245549928,-15501.819509621215,-2208.1230095885126,-2128.1816257795044,-1603.000954110997,1703.4603018340429,-2634.093276452806,-19529.04983509217,378,2,2,0,2025-07-25 16:10:50,2025-07-25 14:10:51,-0.48417608566329307,1.907792980368825
51052-897,24.3,59.0,262,74.6,49.3526,8.1646,111.2,0.5,0,6,-3678.773245549928,-15435.288095416834,-2202.446600823503,-2115.361254539869,-1596.4042423656845,1708.3134650871316,-2634.093276452806,-19574.572095780033,379,2,3,0,2025-07-25 16:10:52,2025-07-25 14:10:53,-0.48417608566329307,1.907792980368825
51054-897,24.3,59.0,260,74.6,49.3526,8.1646,111.2,0.4,0,6,-3678.773245549928,-15501.819509621215,-2213.799418353521,-2121.771440159687,-1603.000954110997,1708.3134650871316,-2642.075377290542,-19529.04983509217,379,2,2,0,2025-07-25 16:10:54,2025-07-25 14:10:55,-0.48417608566329307,1.907792980368825
51056-898,24.3,59.0,260,74.7,49.3526,8.1646,111.2,0.3,0,6,-3678.773245549928,-15501.819509621215,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2634.093276452806,-19529.04983509217,378,2,3,0,2025-07-25 16:10:56,2025-07-25 14:10:57,-0.48417608566329307,1.907792980368825
51058-898,24.3,59.0,261,74.5,49.3526,8.1646,111.1,1.1,0,6,-3678.773245549928,-15435.288095416834,-2208.1230095885126,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2618.129074777334,-19529.04983509217,377,2,3,0,2025-07-25 16:10:58,2025-07-25 14:10:59,-0.48417608566329307,1.907792980368825
51060-898,24.3,59.0,260,74.5,49.3526,8.1646,111.2,1.4,0,7,-3660.9151229987147,-15435.288095416834,-2208.1230095885126,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2634.093276452806,-19483.52757440431,377,3,2,0,2025-07-25 16:11:00,2025-07-25 14:11:01,-0.48417608566329307,1.907792980368825
51062-898,24.3,59.0,261,74.5,49.3526,8.1646,111.4,0.4,0,7,-3660.9151229987147,-15435.288095416834,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2634.093276452806,-19483.52757440431,378,2,2,0,2025-07-25 16:11:02,2025-07-25 14:11:03,-0.48417608566329307,1.907792980368825
51064-899,24.3,59.0,261,74.5,49.3526,8.1646,111.5,0.4,0,7,-3643.057000447501,-15501.819509621215,-2208.1230095885126,-2121.771440159687,-1596.4042423656845,1698.6071385809546,-2634.093276452806,-19483.52757440431,377,3,3,0,2025-07-25 16:11:04,2025-07-25 14:11:04,-0.48417608566329307,1.907792980368825
