GPS_Lat|GPS_Lon|Street
49,3314|8,2026|
49,3314|8,2024|
49,3314|8,2016|
49,3314|8,1713|
49,3315|8,2026|
49,3315|8,2022|
49,3315|8,2021|
49,3315|8,2015|
49,3316|8,2026|
49,3316|8,202|
49,3316|8,2015|
49,3316|8,171|
49,3317|8,2025|
49,3317|8,2019|
49,3317|8,2017|
49,3317|8,2016|
49,3318|8,2025|
49,3318|8,1707|
49,3319|8,2026|
49,3319|8,2025|
49,332|8,2028|
49,332|8,2027|
49,332|8,1704|
49,3321|8,2029|
49,3322|8,2029|
49,3322|8,17|
49,3323|8,2028|
49,3324|8,2027|
49,3324|8,1697|
49,3325|8,2028|
49,3326|8,1694|
49,3327|8,2029|
49,3328|8,203|
49,333|8,2031|
49,333|8,169|
49,3331|8,2033|
49,3332|8,1687|
49,3333|8,2035|
49,3334|8,2226|
49,3334|8,2228|
49,3334|8,2231|
49,3334|8,2234|
49,3334|8,2236|
49,3334|8,2239|
49,3334|8,2242|
49,3334|8,2245|
49,3334|8,2037|
49,3334|8,1685|
49,3335|8,2221|
49,3335|8,2224|
49,3335|8,2039|
49,3336|8,2219|
49,3336|8,2041|
49,3336|8,1683|
49,3337|8,2217|
49,3338|8,2215|
49,3338|8,2043|
49,3338|8,1681|
49,3339|8,2213|
49,3339|8,2045|
49,334|8,2211|
49,334|8,2047|
49,334|8,1679|
49,3341|8,2209|
49,3341|8,2049|
49,3342|8,2207|
49,3342|8,2187|
49,3342|8,2051|
49,3342|8,1679|
49,3343|8,2189|
49,3343|8,2185|
49,3343|8,2183|
49,3343|8,2053|
49,3343|8,1678|
49,3344|8,2204|
49,3344|8,2191|
49,3344|8,2181|
49,3344|8,2055|
49,3344|8,1679|
49,3345|8,2202|
49,3345|8,2192|
49,3345|8,2179|
49,3345|8,2057|
49,3345|8,168|
49,3346|8,2199|
49,3346|8,2201|
49,3346|8,2254|
49,3346|8,2194|
49,3346|8,2177|
49,3346|8,2059|
49,3346|8,168|
49,3347|8,1677|
49,3347|8,1675|
49,3347|8,1673|
49,3347|8,2197|
49,3347|8,2195|
49,3347|8,2175|
49,3347|8,2062|
49,3347|8,1674|
49,3347|8,1676|
49,3347|8,1672|
49,3348|8,1678|
49,3348|8,1671|
49,3348|8,1677|
49,3348|8,2196|
49,3348|8,2254|
49,3348|8,2172|
49,3348|8,2064|
49,3348|8,1679|
49,3348|8,1672|
49,3348|8,167|
49,3349|8,1679|
49,3349|8,1668|
49,3349|8,2193|
49,3349|8,2195|
49,3349|8,2196|
49,3349|8,2254|
49,3349|8,217|
49,3349|8,2167|
49,3349|8,2066|
49,3349|8,1669|
49,3349|8,168|
49,3349|8,167|
49,335|8,168|
49,335|8,1666|
49,335|8,1679|
49,335|8,2192|
49,335|8,2197|
49,335|8,2165|
49,335|8,2067|
49,335|8,1667|
49,335|8,1665|
49,3351|8,168|
49,3351|8,1664|
49,3351|8,1663|
49,3351|8,219|
49,3351|8,2198|
49,3351|8,2254|
49,3351|8,2199|
49,3351|8,2163|
49,3351|8,2069|
49,3351|8,1665|
49,3352|8,168|
49,3352|8,2199|
49,3352|8,22|
49,3352|8,2161|
49,3352|8,2071|
49,3352|8,1663|
49,3352|8,1662|
49,3353|8,1661|
49,3353|8,168|
49,3353|8,2187|
49,3353|8,2201|
49,3353|8,2254|
49,3353|8,2159|
49,3353|8,2157|
49,3353|8,2073|
49,3353|8,2072|
49,3353|8,166|
49,3353|8,1681|
49,3354|8,168|
49,3354|8,1659|
49,3354|8,2185|
49,3354|8,2202|
49,3354|8,2075|
49,3354|8,1681|
49,3354|8,166|
49,3355|8,1681|
49,3355|8,1658|
49,3355|8,2183|
49,3355|8,2204|
49,3355|8,2203|
49,3355|8,2157|
